date,ltp,ltq,bid,ask
2022-08-15 07:34:02,1.019295,0,1.01922,1.01937
2022-08-15 07:34:03,1.019295,0,1.01922,1.01937
2022-08-15 07:34:04,1.019325,5,1.01925,1.0194
2022-08-15 07:34:05,1.019345,0,1.01927,1.01942
2022-08-15 07:34:06,1.019335,0,1.01926,1.01941
2022-08-15 07:34:07,1.019315,1,1.01924,1.01939
2022-08-15 07:34:08,1.019325,0,1.01925,1.0194
2022-08-15 07:34:09,1.019325,0,1.01925,1.0194
2022-08-15 07:34:10,1.019335,0,1.01926,1.01941
2022-08-15 07:34:11,1.019335,0,1.01926,1.01941
2022-08-15 07:34:12,1.019345,9,1.01927,1.01942
2022-08-15 07:34:13,1.019365,0,1.01929,1.01944
2022-08-15 07:34:14,1.019425,11,1.01935,1.0195
2022-08-15 07:34:15,1.019435,0,1.01936,1.01951
2022-08-15 07:34:16,1.019445,7,1.01937,1.01952
2022-08-15 07:34:17,1.019385,5,1.01931,1.01946
2022-08-15 07:34:18,1.019405,0,1.01933,1.01948
2022-08-15 07:34:19,1.019435,2,1.01936,1.01951
2022-08-15 07:34:20,1.019435,1,1.01936,1.01951
2022-08-15 07:34:21,1.019425,1,1.01935,1.0195
2022-08-15 07:34:22,1.019425,0,1.01935,1.0195
2022-08-15 07:34:23,1.019405,0,1.01933,1.01948
2022-08-15 07:34:24,1.019385,10,1.01931,1.01946
2022-08-15 07:34:25,1.019395,0,1.01932,1.01947
2022-08-15 07:34:26,1.019405,0,1.01933,1.01948
2022-08-15 07:34:27,1.019385,6,1.01931,1.01946
2022-08-15 07:34:28,1.019395,0,1.01932,1.01947
2022-08-15 07:34:29,1.019385,0,1.01931,1.01946
2022-08-15 07:34:30,1.019365,11,1.01929,1.01944
2022-08-15 07:34:31,1.019375,0,1.0193,1.01945
2022-08-15 07:34:32,1.01941,10,1.01934,1.01948
2022-08-15 07:34:33,1.019395,0,1.01932,1.01947
2022-08-15 07:34:34,1.019485,8,1.01941,1.01956
2022-08-15 07:34:35,1.019485,3,1.01941,1.01956
2022-08-15 07:34:36,1.019465,0,1.01939,1.01954
2022-08-15 07:34:37,1.019455,8,1.01938,1.01953
2022-08-15 07:34:38,1.019455,7,1.01938,1.01953
2022-08-15 07:34:39,1.019465,0,1.01939,1.01954
